9.54E-10	0
100	0
25	0
50	0
75	0
100	300
100	25
100	50
100	75
100	100
100	125
100	150
100	175
100	200
100	225
100	250
100	275
9.54E-10	300
75	300
50	300
25	300
9.54E-10	275
9.54E-10	250
9.54E-10	225
9.54E-10	200
9.54E-10	175
9.54E-10	150
9.54E-10	125
9.54E-10	100
9.54E-10	75
9.54E-10	50
9.54E-10	25
70	150
64.29861	136.0161
50.30228	130.0023
36.14275	135.5786
30.00292	149.6582
35.67777	163.9597
49.82911	169.9993
64.08159	164.2024
84.07922	138.2769
76.33366	130.6125
80.20531	115.2384
64.81007	117.2326
47.78609	113.9547
33.56722	120.4859
22.13128	145.2625
15.55242	161.4787
25	25
50	25
75	25
75	50
74.95676	73.70251
79.86148	95.46382
59.49569	97.8786
41.89014	97.38206
30.81375	105.2285
17.80664	98.83118
16.98023	124.8982
23.10368	168.6517
38.44448	190.3108
45.50844	206.5557
55.92624	194.3565
65.99347	187.2953
87.37686	169.758
75.4655	168.1114
78.17301	156.3179
88.36191	151.9545
75.09814	277.1333
50.01279	276.4545
25	275
27.4958	251.0507
20.97298	205.0484
28.82924	226.4455
54.5475	235.3904
57.41572	217.2527
69.60538	211.5543
86.15505	190.0792
18.25363	183.2263
30.8333	179.4267
11.45971	149.287
25.22662	135.8543
25.9756	75.35586
23.78476	49.98684
49.1863	50.41217
50.99916	74.66844
80.89053	205.3162
78.4309	231.2233
76.78218	254.1744
54.61273	252.9124
75.18066	181.3904
