34	42	41	33
34	44	43	42
35	45	44	34
36	46	45	35
37	47	82	36
37	48	81	47
3	49	32	1
4	50	49	3
5	51	50	4
7	51	5	2
8	52	51	7
9	53	52	8
10	54	53	9
44	55	54	43
45	56	55	44
46	57	56	45
46	59	58	57
82	59	46	36
38	60	48	37
39	63	62	61
40	64	63	39
40	66	91	64
33	67	66	40
41	68	67	33
66	67	68	65
11	43	54	10
41	11	12	68
41	42	43	11
19	69	17	6
20	70	69	19
21	71	70	20
22	71	21	18
23	72	71	22
24	74	72	23
25	73	74	24
62	74	73	61
62	76	75	74
63	77	76	62
64	87	77	63
68	12	13	65
91	78	87	64
65	13	14	78
26	79	73	25
80	61	73	79
81	59	82	47
48	26	27	81
48	60	79	26
59	81	27	28
29	58	59	28
30	83	58	29
31	84	83	30
49	84	31	32
50	85	84	49
52	85	50	51
53	86	85	52
55	86	53	54
83	56	57	58
86	83	84	85
80	38	39	61
80	79	60	38
15	87	78	14
15	88	77	87
16	89	88	15
69	89	16	17
70	90	89	69
72	90	70	71
88	75	76	77
88	89	90	75
74	75	90	72
56	83	86	55
65	78	91	66
