3.69E-06	0
100	0
10	0
20	0
30	0
40	0
50	0
60	0
70	0
80	0
90	0
100	300
100	10
100	20
100	30
100	40
100	50
100	60
100	69.99999
100	80.00001
100	89.99999
100	99.99999
100	110
100	120
100	130
100	140
100	150
100	160
100	170
100	180
100	190
100	200
100	210
100	220
100	230
100	240.0001
100	250.0001
100	260.0001
100	270.0001
100	280.0001
100	290.0001
3.69E-06	300
90	300
80	300
70	300
60	300
50	300
40	300
30	300
20	300
10	300
3.69E-06	290.0001
3.69E-06	280.0001
3.69E-06	270.0001
3.69E-06	260.0001
3.69E-06	250.0001
3.69E-06	240.0001
3.69E-06	230
3.69E-06	220
3.69E-06	210
3.69E-06	200
3.69E-06	190
3.69E-06	180
3.69E-06	170
3.69E-06	160
3.69E-06	150
3.69E-06	140
3.69E-06	130
3.69E-06	120
3.69E-06	110
3.69E-06	99.99999
3.69E-06	89.99999
3.69E-06	80.00001
3.69E-06	69.99999
3.69E-06	60
3.69E-06	50
3.69E-06	40
3.69E-06	30
3.69E-06	20
3.69E-06	10
70	150
68.01949	141.3226
62.46999	134.3635
54.45063	130.5015
45.54977	130.5014
37.53034	134.3633
31.98069	141.3222
30	149.9999
31.98057	158.6776
37.53013	165.6366
45.54951	169.4985
54.45036	169.4986
62.46976	165.6367
68.01937	158.6777
79.70084	150.3606
77.65884	139.1604
72.70592	129.0015
59.74864	124.0126
47.37515	123.8715
39.51297	124.0999
31.36474	132.9508
24.98281	140.022
20.62298	148.9084
18.81669	160.8782
28.25296	170.5258
35.31855	175.1342
48.59148	175.4477
58.28746	174.5726
68.22747	170.1999
77.38207	161.6744
10	9.999999
20	9.999999
30	9.999999
40	9.999999
50	9.999998
60	9.999999
70	10
80	10
90	10
90	20
90	30
90	40
90	50
90	60
90	69.99999
90	80.00001
90	89.99999
90	99.99999
90	110
88.24747	119.9999
87.41377	129.8296
88.11034	139.8854
89.41178	149.9103
88.29107	160.006
90	170
90.58439	180.0015
89.99999	190
89.99999	200
89.99999	210
89.99999	220
89.99999	230
89.99999	240.0001
89.99999	250.0001
89.99999	260.0001
89.99999	270.0001
89.99999	280.0001
89.99999	290.0001
80	290.0001
70	290
60	290
50	290
40	290
30	290
20	290
10	290
9.999994	280.0001
10	270.0001
10	260.0001
10.53414	249.7337
8.377375	240.0361
8.976453	229.9105
9.146122	219.6932
9.261438	209.2536
10.63246	199.0177
6.164732	190.392
9.25563	180.3932
11.61961	169.6521
6.657918	160.2792
9.36878	151.0414
8.925879	130.537
8.226153	120.3562
8.020826	110.2691
8.100125	100.1274
8.281745	90.01048
9.376326	79.99991
10	69.99999
10	60
10	50
10	40
10	30
10	20
31.99789	123.6783
24.74506	123.7998
25.14857	130.4926
18.62033	135.3168
10.89776	140.5755
41.6855	181.1479
47.91396	187.3117
51.92713	180.9832
59.78072	180.9687
69.8084	177.4033
79.62558	171.3251
80.66754	180.8703
80.7741	190.4952
80.41351	200.2007
80.19854	210.0805
80.08954	220.0322
80.03876	230.0129
80.0163	240.0052
80.00672	250.0021
80.00273	260.0009
80.00109	270.0004
80.0004	280.0002
19.84669	176.153
28.44557	182.5842
36.32932	189.0629
44.17907	194.1059
20	20
30	20
40	20
49.99995	19.25494
60	20
70	20
80	20
76.77911	120.5099
65.63721	117.0205
54.96898	114.3338
45.27072	113.7125
35.17523	114.3618
25.50814	115.9089
16.7239	118.024
16.01145	127.3819
79.37501	110.3629
69.37014	107.5162
59.35085	104.432
48.55392	102.7052
37.29961	103.3461
27.17729	106.1606
17.04252	108.8294
18.32877	98.68346
16.65564	88.87389
17.93814	79.45204
19.47224	69.86732
19.19112	59.91755
19.31647	49.96432
19.9672	39.99173
19.98863	29.99669
80	30
80.56211	39.97037
80.59438	49.96587
80.63126	59.96605
80.67969	69.97993
80.74495	80.02883
80.71954	90.14871
79.97662	99.99999
70.89748	97.73608
61.315	94.52586
51.54898	92.05283
40.76545	91.7961
29.96159	94.67942
24.16763	87.23194
26.45875	78.35368
28.33722	69.37153
28.41894	59.66148
28.67014	49.90248
28.97606	39.95345
29.96532	29.99601
71.59215	88.26214
62.5757	85.13281
53.47246	82.53721
44.04615	81.84716
34.51815	82.86192
39.54009	30.35419
49.9989	28.56472
59.98674	29.44196
69.98331	30.00672
16.40334	187.4719
23.61778	191.619
31.122	197.3513
40.18488	202.4941
49.63759	207.158
53.0417	198.1571
57.63845	188.9001
69.92755	185.9554
71.52956	193.9193
70.66527	202.7384
69.81838	211.7009
70.55313	220.6588
70.3294	230.3193
70.18036	240.1546
70.09329	250.075
70.04657	260.0366
70.02279	270.0179
70.01153	280.0088
63.64245	195.5308
61.1093	204.0022
61.29216	221.7797
60.86189	230.9603
60.53503	240.5001
60.30985	250.2546
60.16968	260.128
60.08919	270.0642
60.04702	280.0308
20.05273	200.4497
27.5303	205.826
35.45676	210.6576
43.15995	215.2654
51.75867	218.2468
59.42626	212.6495
51.74327	226.2388
51.19024	234.8529
50.8965	243.8477
50.46658	252.5625
49.97906	261.5117
50.50666	270.5919
50.3325	280.2916
17.9658	210.3703
26.34909	214.7743
34.06013	220.1587
42.68768	224.3105
40.27921	280.0664
30.23317	279.9641
20.19437	279.9231
19.81667	268.9962
19.89237	258.1646
21.69862	247.3441
15.75044	239.3152
17.3204	230.7621
18.43511	220.8978
71.40612	78.74825
63.14548	75.78481
54.3095	73.08644
45.36518	71.90642
36.30367	71.65158
71.29338	69.29148
63.14664	66.35912
54.71373	63.62549
45.94899	62.32952
37.07302	61.47186
71.21555	59.75747
63.06194	56.93239
54.76081	54.10785
46.20724	52.95604
37.56256	51.32693
71.15836	50.12231
62.94072	47.52271
54.27	45.44617
45.9014	44.70599
37.99055	41.11958
71.10896	40.38029
62.08826	38.87001
53.74465	37.24384
46.53796	37.83364
25.99459	225.0328
33.57966	229.8065
41.48207	233.1796
25.47438	236.2103
33.22513	239.7387
41.67086	242.8627
31.32758	249.5526
40.93904	251.4963
30.01235	259.2172
39.84625	260.8625
40.13192	270.3764
29.80572	269.5221
